Detroit Red Wings,Detroit Cougars,Detroit Falcons
Toronto Maple Leafs,Toronto St.Patricks
Ottawa Senators (o),St. Louis Eagles
Montreal Maroons
New York Americans,Brooklyn Americans
Pittsburgh Pirates
Boston Bruins
New York Rangers
Montreal Canadiens
Chicago Blackhawks,Chicago Black Hawks
California Golden Seals,Oakland Seals,California Seals,Cleveland Barons
Dallas Stars,Minnesota North Stars
Los Angeles Kings
St. Louis Blues
Philadelphia Flyers
Buffalo Sabres
Vancouver Canucks
Calgary Flames,Atlanta Flames
New York Islanders
Carolina Hurricanes,Hartford Whalers
Colorado Avalanche,Quebec Nordiques
Edmonton Oilers,Alberta Oilers
Winnipeg Jets (o),Phoenix Coyotes,Arizona Coyotes
New Jersey Devils,Colorado Rockies,Kansas City Scouts
San Jose Sharks
Ottawa Senators
Tampa Bay Lightning
Florida Panthers
Mighty Ducks of Anaheim,Anaheim Ducks
Nashville Predators
Winnipeg Jets,Atlanta Thrashers
Columbus Blue Jackets
Minnesota Wild
Las Vegas Whatever they ares
